data 2020-11-16 13:09:56 , accessi 111 , mappa:  108 , grafico:  103 , downdati:  103 , downgrafico:  103
data 2020-11-16 13:10:29 , accessi 111 , mappa:  109 , grafico:  103 , downdati:  103 , downgrafico:  103
data 2020-11-16 13:11:12 , accessi 112 , mappa:  109 , grafico:  103 , downdati:  103 , downgrafico:  103
data 2020-11-16 13:11:40 , accessi 112 , mappa:  110 , grafico:  103 , downdati:  103 , downgrafico:  103
data 2020-11-16 13:12:54 , accessi 113 , mappa:  110 , grafico:  103 , downdati:  103 , downgrafico:  103
data 2020-11-16 13:13:14 , accessi 113 , mappa:  111 , grafico:  103 , downdati:  103 , downgrafico:  103
data 2020-11-16 13:14:27 , accessi 114 , mappa:  111 , grafico:  103 , downdati:  103 , downgrafico:  103
data 2020-11-16 13:14:46 , accessi 114 , mappa:  112 , grafico:  103 , downdati:  103 , downgrafico:  103
data 2020-11-16 13:15:42 , accessi 115 , mappa:  112 , grafico:  103 , downdati:  103 , downgrafico:  103
data 2020-11-16 13:16:02 , accessi 115 , mappa:  113 , grafico:  103 , downdati:  103 , downgrafico:  103
data 2020-11-16 13:18:28 , accessi 116 , mappa:  113 , grafico:  103 , downdati:  103 , downgrafico:  103
data 2020-11-16 13:18:52 , accessi 116 , mappa:  114 , grafico:  103 , downdati:  103 , downgrafico:  103
data 2020-11-16 13:37:10 , accessi 117 , mappa:  114 , grafico:  103 , downdati:  103 , downgrafico:  103
data 2020-11-16 13:37:26 , accessi 117 , mappa:  115 , grafico:  103 , downdati:  103 , downgrafico:  103
data 2020-11-16 13:37:41 , accessi 117 , mappa:  116 , grafico:  103 , downdati:  103 , downgrafico:  103
data 2020-11-16 13:45:36 , accessi 118 , mappa:  116 , grafico:  103 , downdati:  103 , downgrafico:  103
data 2020-11-16 13:46:07 , accessi 118 , mappa:  117 , grafico:  103 , downdati:  103 , downgrafico:  103
data 2020-11-16 13:47:09 , accessi 119 , mappa:  117 , grafico:  103 , downdati:  103 , downgrafico:  103
data 2020-11-16 13:49:43 , accessi 120 , mappa:  117 , grafico:  103 , downdati:  103 , downgrafico:  103
data 2020-11-16 13:54:44 , accessi 121 , mappa:  117 , grafico:  103 , downdati:  103 , downgrafico:  103
data 2020-11-16 13:55:21 , accessi 121 , mappa:  118 , grafico:  103 , downdati:  103 , downgrafico:  103
data 2020-11-16 18:48:12 , accessi 122 , mappa:  118 , grafico:  103 , downdati:  103 , downgrafico:  103
data 2020-11-16 18:52:10 , accessi 123 , mappa:  118 , grafico:  103 , downdati:  103 , downgrafico:  103
data 2020-11-16 18:52:44 , accessi 124 , mappa:  118 , grafico:  103 , downdati:  103 , downgrafico:  103
data 2020-11-16 18:53:43 , accessi 125 , mappa:  118 , grafico:  103 , downdati:  103 , downgrafico:  103
data 2020-11-16 18:58:32 , accessi 126 , mappa:  118 , grafico:  103 , downdati:  103 , downgrafico:  103
data 2020-11-16 20:06:59 , accessi 127 , mappa:  118 , grafico:  103 , downdati:  103 , downgrafico:  103
data 2020-11-16 20:28:28 , accessi 128 , mappa:  118 , grafico:  103 , downdati:  103 , downgrafico:  103
data 2020-11-17 12:11:52 , accessi 129 , mappa:  118 , grafico:  103 , downdati:  103 , downgrafico:  103
data 2020-11-17 12:12:04 , accessi 130 , mappa:  118 , grafico:  103 , downdati:  103 , downgrafico:  103
data 2020-11-17 13:16:19 , accessi 131 , mappa:  118 , grafico:  103 , downdati:  103 , downgrafico:  103
data 2020-11-17 13:18:44 , accessi 132 , mappa:  118 , grafico:  103 , downdati:  103 , downgrafico:  103
data 2020-11-17 13:21:56 , accessi 132 , mappa:  119 , grafico:  103 , downdati:  103 , downgrafico:  103
data 2020-11-17 13:23:19 , accessi 132 , mappa:  120 , grafico:  103 , downdati:  103 , downgrafico:  103
data 2020-11-17 13:23:45 , accessi 132 , mappa:  120 , grafico:  104 , downdati:  103 , downgrafico:  103
data 2020-11-17 13:23:46 , accessi 132 , mappa:  120 , grafico:  104 , downdati:  104 , downgrafico:  103
data 2020-11-17 13:23:46 , accessi 132 , mappa:  120 , grafico:  104 , downdati:  104 , downgrafico:  104
data 2020-11-17 13:29:05 , accessi 132 , mappa:  120 , grafico:  105 , downdati:  104 , downgrafico:  104
data 2020-11-17 13:29:05 , accessi 132 , mappa:  120 , grafico:  105 , downdati:  105 , downgrafico:  104
data 2020-11-17 13:29:05 , accessi 132 , mappa:  120 , grafico:  105 , downdati:  105 , downgrafico:  105
data 2020-11-17 13:30:29 , accessi 132 , mappa:  121 , grafico:  105 , downdati:  105 , downgrafico:  105
data 2020-11-17 13:31:42 , accessi 132 , mappa:  122 , grafico:  105 , downdati:  105 , downgrafico:  105
data 2020-11-17 13:32:24 , accessi 132 , mappa:  123 , grafico:  105 , downdati:  105 , downgrafico:  105
data 2020-11-17 13:32:40 , accessi 132 , mappa:  124 , grafico:  105 , downdati:  105 , downgrafico:  105
data 2020-11-17 13:32:48 , accessi 132 , mappa:  125 , grafico:  105 , downdati:  105 , downgrafico:  105
